mu Delta Omega mu0 Delta0 Omega0
316.3265306122449 -939.3939393939394 -124.63880784127211 316.3265306122449 nan nan 
326.53061224489795 -939.3939393939394 -124.63880784127211 326.53061224489795 nan nan 
336.734693877551 -939.3939393939394 -124.63880784127211 336.734693877551 nan nan 
346.9387755102041 -939.3939393939394 -124.63880784127211 346.9387755102041 nan nan 
357.1428571428571 -939.3939393939394 -124.63880784127211 357.1428571428571 nan nan 
367.3469387755102 -939.3939393939394 -124.63880784127211 367.3469387755102 nan nan 
377.55102040816325 -939.3939393939394 -124.63880784127211 377.55102040816325 nan nan 
387.7551020408163 -939.3939393939394 -124.63880784127211 387.7551020408163 nan nan 
397.9591836734694 -939.3939393939394 -124.63880784127211 397.9591836734694 nan nan 
408.1632653061224 -939.3939393939394 -124.63880784127211 408.1632653061224 nan nan 
418.3673469387755 -939.3939393939394 -124.63880784127211 418.3673469387755 nan nan 
428.57142857142856 -939.3939393939394 -124.63880784127211 428.57142857142856 nan nan 
438.7755102040816 -939.3939393939394 -124.63880784127211 438.7755102040816 nan nan 
448.9795918367347 -939.3939393939394 -124.63880784127211 448.9795918367347 nan nan 
459.18367346938777 -939.3939393939394 -124.63880784127211 459.18367346938777 nan nan 
469.3877551020408 -939.3939393939394 -124.63880784127211 469.3877551020408 nan nan 
479.59183673469386 -939.3939393939394 -124.63880784127211 479.59183673469386 nan nan 
489.7959183673469 -939.3939393939394 -124.63880784127211 489.7959183673469 nan nan 
500.0 -939.3939393939394 -124.63880784127211 500.0 nan nan 

0.0 -919.1919191919192 -105.88453202006039 0.0 nan nan 
10.204081632653061 -919.1919191919192 -105.88453202006039 10.204081632653061 nan nan 
20.408163265306122 -919.1919191919192 -105.88453202006039 20.408163265306122 nan nan 
30.612244897959183 -919.1919191919192 -105.88453202006039 30.612244897959183 nan nan 
40.816326530612244 -919.1919191919192 -105.88453202006039 40.816326530612244 nan nan 
51.0204081632653 -919.1919191919192 -105.88453202006039 51.0204081632653 nan nan 
61.224489795918366 -919.1919191919192 -105.88453202006039 61.224489795918366 nan nan 
71.42857142857143 -919.1919191919192 -105.88453202006039 71.42857142857143 nan nan 
81.63265306122449 -919.1919191919192 -105.88453202006039 81.63265306122449 nan nan 
91.83673469387755 -919.1919191919192 -105.88453202006039 91.83673469387755 nan nan 
102.0408163265306 -919.1919191919192 -105.88453202006039 102.0408163265306 nan nan 
112.24489795918367 -919.1919191919192 -105.88453202006039 112.24489795918367 nan nan 
122.44897959183673 -919.1919191919192 -105.88453202006039 122.44897959183673 nan nan 
132.6530612244898 -919.1919191919192 -105.88453202006039 132.6530612244898 nan nan 
142.85714285714286 -919.1919191919192 -105.88453202006039 142.85714285714286 nan nan 
153.0612244897959 -919.1919191919192 -105.88453202006039 153.0612244897959 nan nan 
163.26530612244898 -919.1919191919192 -105.88453202006039 163.26530612244898 nan nan 
173.46938775510205 -919.1919191919192 -105.88453202006039 173.46938775510205 nan nan 
183.6734693877551 -919.1919191919192 -105.88453202006039 183.6734693877551 nan nan 
193.87755102040816 -919.1919191919192 -105.88453202006039 193.87755102040816 nan nan 
204.0816326530612 -919.1919191919192 -105.88453202006039 204.0816326530612 nan nan 
214.28571428571428 -919.1919191919192 -105.88453202006039 214.28571428571428 nan nan 
224.48979591836735 -919.1919191919192 -105.88453202006039 224.48979591836735 nan nan 
234.6938775510204 -919.1919191919192 -105.88453202006039 234.6938775510204 nan nan 
244.89795918367346 -919.1919191919192 -105.88453202006039 244.89795918367346 nan nan 
255.10204081632654 -919.1919191919192 -105.88453202006039 255.10204081632654 nan nan 
265.3061224489796 -919.1919191919192 -105.88453202006039 265.3061224489796 nan nan 
275.51020408163265 -919.1919191919192 -105.88453202006039 275.51020408163265 nan nan 
285.7142857142857 -919.1919191919192 -105.88453202006039 285.7142857142857 nan nan 
295.9183673469388 -919.1919191919192 -105.88453202006039 295.9183673469388 nan nan 
306.1224489795918 -919.1919191919192 -105.88453202006039 306.1224489795918 nan nan 
316.3265306122449 -919.1919191919192 -105.88453202006039 316.3265306122449 nan nan 
326.53061224489795 -919.1919191919192 -105.88453202006039 326.53061224489795 nan nan 
336.734693877551 -919.1919191919192 -105.88453202006039 336.734693877551 nan nan 
346.9387755102041 -919.1919191919192 -105.88453202006039 346.9387755102041 nan nan 
357.1428571428571 -919.1919191919192 -105.88453202006039 357.1428571428571 nan nan 
367.3469387755102 -919.1919191919192 -105.88453202006039 367.3469387755102 nan nan 
377.55102040816325 -919.1919191919192 -105.88453202006039 377.55102040816325 nan nan 
387.7551020408163 -919.1919191919192 -105.88453202006039 387.7551020408163 nan nan 
397.9591836734694 -919.1919191919192 -105.88453202006039 397.9591836734694 nan nan 
408.1632653061224 -919.1919191919192 -105.88453202006039 408.1632653061224 nan nan 
418.3673469387755 -919.1919191919192 -105.88453202006039 418.3673469387755 nan nan 
428.57142857142856 -919.1919191919192 -105.88453202006039 428.57142857142856 nan nan 
438.7755102040816 -919.1919191919192 -105.88453202006039 438.7755102040816 nan nan 
448.9795918367347 -919.1919191919192 -105.88453202006039 448.9795918367347 nan nan 
459.18367346938777 -919.1919191919192 -105.88453202006039 459.18367346938777 nan nan 
469.3877551020408 -919.1919191919192 -105.88453202006039 469.3877551020408 nan nan 
479.59183673469386 -919.1919191919192 -105.88453202006039 479.59183673469386 nan nan 
489.7959183673469 -919.1919191919192 -105.88453202006039 489.7959183673469 nan nan 
500.0 -919.1919191919192 -105.88453202006039 500.0 nan nan 

0.0 -898.989898989899 -89.18362683183571 0.0 nan nan 
10.204081632653061 -898.989898989899 -89.18362683183571 10.204081632653061 nan nan 
20.408163265306122 -898.989898989899 -89.18362683183571 20.408163265306122 nan nan 
30.612244897959183 -898.989898989899 -89.18362683183571 30.612244897959183 nan nan 
40.816326530612244 -898.989898989899 -89.18362683183571 40.816326530612244 nan nan 
51.0204081632653 -898.989898989899 -89.18362683183571 51.0204081632653 nan nan 
61.224489795918366 -898.989898989899 -89.18362683183571 61.224489795918366 nan nan 
71.42857142857143 -898.989898989899 -89.18362683183571 71.42857142857143 nan nan 
81.63265306122449 -898.989898989899 -89.18362683183571 81.63265306122449 nan nan 
91.83673469387755 -898.989898989899 -89.18362683183571 91.83673469387755 nan nan 
102.0408163265306 -898.989898989899 -89.18362683183571 102.0408163265306 nan nan 
112.24489795918367 -898.989898989899 -89.18362683183571 112.24489795918367 nan nan 
122.44897959183673 -898.989898989899 -89.18362683183571 122.44897959183673 nan nan 
132.6530612244898 -898.989898989899 -89.18362683183571 132.6530612244898 nan nan 
142.85714285714286 -898.989898989899 -89.18362683183571 142.85714285714286 nan nan 
153.0612244897959 -898.989898989899 -89.18362683183571 153.0612244897959 nan nan 
163.26530612244898 -898.989898989899 -89.18362683183571 163.26530612244898 nan nan 
173.46938775510205 -898.989898989899 -89.18362683183571 173.46938775510205 nan nan 
183.6734693877551 -898.989898989899 -89.18362683183571 183.6734693877551 nan nan 
193.87755102040816 -898.989898989899 -89.18362683183571 193.87755102040816 nan nan 
204.0816326530612 -898.989898989899 -89.18362683183571 204.0816326530612 nan nan 
214.28571428571428 -898.989898989899 -89.18362683183571 214.28571428571428 nan nan 
224.48979591836735 -898.989898989899 -89.18362683183571 224.48979591836735 nan nan 
234.6938775510204 -898.989898989899 -89.18362683183571 234.6938775510204 nan nan 
244.89795918367346 -898.989898989899 -89.18362683183571 244.89795918367346 nan nan 
255.10204081632654 -898.989898989899 -89.18362683183571 255.10204081632654 nan nan 
265.3061224489796 -898.989898989899 -89.18362683183571 265.3061224489796 nan nan 
275.51020408163265 -898.989898989899 -89.18362683183571 275.51020408163265 nan nan 
285.7142857142857 -898.989898989899 -89.18362683183571 285.7142857142857 nan nan 
295.9183673469388 -898.989898989899 -89.18362683183571 295.9183673469388 nan nan 
306.1224489795918 -898.989898989899 -89.18362683183571 306.1224489795918 nan nan 
316.3265306122449 -898.989898989899 -89.18362683183571 316.3265306122449 nan nan 
326.53061224489795 -898.989898989899 -89.18362683183571 326.53061224489795 nan nan 
336.734693877551 -898.989898989899 -89.18362683183571 336.734693877551 nan nan 
346.9387755102041 -898.989898989899 -89.18362683183571 346.9387755102041 nan nan 
357.1428571428571 -898.989898989899 -89.18362683183571 357.1428571428571 nan nan 
367.3469387755102 -898.989898989899 -89.18362683183571 367.3469387755102 nan nan 
377.55102040816325 -898.989898989899 -89.18362683183571 377.55102040816325 nan nan 
387.7551020408163 -898.989898989899 -89.18362683183571 387.7551020408163 nan nan 
397.9591836734694 -898.989898989899 -89.18362683183571 397.9591836734694 nan nan 
408.1632653061224 -898.989898989899 -89.18362683183571 408.1632653061224 nan nan 
418.3673469387755 -898.989898989899 -89.18362683183571 418.3673469387755 nan nan 
428.57142857142856 -898.989898989899 -89.18362683183571 428.57142857142856 nan nan 
438.7755102040816 -898.989898989899 -89.18362683183571 438.7755102040816 nan nan 
448.9795918367347 -898.989898989899 -89.18362683183571 448.9795918367347 nan nan 
459.18367346938777 -898.989898989899 -89.18362683183571 459.18367346938777 nan nan 
469.3877551020408 -898.989898989899 -89.18362683183571 469.3877551020408 nan nan 
479.59183673469386 -898.989898989899 -89.18362683183571 479.59183673469386 nan nan 
489.7959183673469 -898.989898989899 -89.18362683183571 489.7959183673469 nan nan 
500.0 -898.989898989899 -89.18362683183571 500.0 nan nan 

0.0 -878.7878787878788 -74.3836924339477 0.0 nan nan 
10.204081632653061 -878.7878787878788 -74.3836924339477 10.204081632653061 nan nan 
20.408163265306122 -878.7878787878788 -74.3836924339477 20.408163265306122 nan nan 
30.612244897959183 -878.7878787878788 -74.3836924339477 30.612244897959183 nan nan 
40.816326530612244 -878.7878787878788 -74.3836924339477 40.816326530612244 nan nan 
51.0204081632653 -878.7878787878788 -74.3836924339477 51.0204081632653 nan nan 
61.224489795918366 -878.7878787878788 -74.3836924339477 61.224489795918366 nan nan 
71.42857142857143 -878.7878787878788 -74.3836924339477 71.42857142857143 nan nan 
81.63265306122449 -878.7878787878788 -74.3836924339477 81.63265306122449 nan nan 
91.83673469387755 -878.7878787878788 -74.3836924339477 91.83673469387755 nan nan 
