mu sigma omega mu0 sigma0 omega0
469.3877551020408 -382.07070707070704 128.7224564039987 469.3877551020408 nan nan 
479.59183673469386 -382.07070707070704 128.7224564039987 479.59183673469386 nan nan 
489.7959183673469 -382.07070707070704 128.7224564039987 489.7959183673469 nan nan 
500.0 -382.07070707070704 128.7224564039987 500.0 nan nan 

0.0 -373.4848484848485 142.69409493385163 0.0 nan nan 
10.204081632653061 -373.4848484848485 142.69409493385163 10.204081632653061 nan nan 
20.408163265306122 -373.4848484848485 142.69409493385163 20.408163265306122 nan nan 
30.612244897959183 -373.4848484848485 142.69409493385163 30.612244897959183 nan nan 
40.816326530612244 -373.4848484848485 142.69409493385163 40.816326530612244 nan nan 
51.0204081632653 -373.4848484848485 142.69409493385163 51.0204081632653 nan nan 
61.224489795918366 -373.4848484848485 142.69409493385163 61.224489795918366 nan nan 
71.42857142857143 -373.4848484848485 142.69409493385163 71.42857142857143 nan nan 
81.63265306122449 -373.4848484848485 142.69409493385163 81.63265306122449 nan nan 
91.83673469387755 -373.4848484848485 142.69409493385163 91.83673469387755 nan nan 
102.0408163265306 -373.4848484848485 142.69409493385163 102.0408163265306 nan nan 
112.24489795918367 -373.4848484848485 142.69409493385163 112.24489795918367 nan nan 
122.44897959183673 -373.4848484848485 142.69409493385163 122.44897959183673 nan nan 
132.6530612244898 -373.4848484848485 142.69409493385163 132.6530612244898 nan nan 
142.85714285714286 -373.4848484848485 142.69409493385163 142.85714285714286 nan nan 
153.0612244897959 -373.4848484848485 142.69409493385163 153.0612244897959 nan nan 
163.26530612244898 -373.4848484848485 142.69409493385163 163.26530612244898 nan nan 
173.46938775510205 -373.4848484848485 142.69409493385163 173.46938775510205 nan nan 
183.6734693877551 -373.4848484848485 142.69409493385163 183.6734693877551 nan nan 
193.87755102040816 -373.4848484848485 142.69409493385163 193.87755102040816 nan nan 
204.0816326530612 -373.4848484848485 142.69409493385163 204.0816326530612 nan nan 
214.28571428571428 -373.4848484848485 142.69409493385163 214.28571428571428 nan nan 
224.48979591836735 -373.4848484848485 142.69409493385163 224.48979591836735 nan nan 
234.6938775510204 -373.4848484848485 142.69409493385163 234.6938775510204 nan nan 
244.89795918367346 -373.4848484848485 142.69409493385163 244.89795918367346 nan nan 
255.10204081632654 -373.4848484848485 142.69409493385163 255.10204081632654 nan nan 
265.3061224489796 -373.4848484848485 142.69409493385163 265.3061224489796 nan nan 
275.51020408163265 -373.4848484848485 142.69409493385163 275.51020408163265 nan nan 
285.7142857142857 -373.4848484848485 142.69409493385163 285.7142857142857 nan nan 
295.9183673469388 -373.4848484848485 142.69409493385163 295.9183673469388 nan nan 
306.1224489795918 -373.4848484848485 142.69409493385163 306.1224489795918 nan nan 
316.3265306122449 -373.4848484848485 142.69409493385163 316.3265306122449 nan nan 
326.53061224489795 -373.4848484848485 142.69409493385163 326.53061224489795 nan nan 
336.734693877551 -373.4848484848485 142.69409493385163 336.734693877551 nan nan 
346.9387755102041 -373.4848484848485 142.69409493385163 346.9387755102041 nan nan 
357.1428571428571 -373.4848484848485 142.69409493385163 357.1428571428571 nan nan 
367.3469387755102 -373.4848484848485 142.69409493385163 367.3469387755102 nan nan 
377.55102040816325 -373.4848484848485 142.69409493385163 377.55102040816325 nan nan 
387.7551020408163 -373.4848484848485 142.69409493385163 387.7551020408163 nan nan 
397.9591836734694 -373.4848484848485 142.69409493385163 397.9591836734694 nan nan 
408.1632653061224 -373.4848484848485 142.69409493385163 408.1632653061224 nan nan 
418.3673469387755 -373.4848484848485 142.69409493385163 418.3673469387755 nan nan 
428.57142857142856 -373.4848484848485 142.69409493385163 428.57142857142856 nan nan 
438.7755102040816 -373.4848484848485 142.69409493385163 438.7755102040816 nan nan 
448.9795918367347 -373.4848484848485 142.69409493385163 448.9795918367347 nan nan 
459.18367346938777 -373.4848484848485 142.69409493385163 459.18367346938777 nan nan 
469.3877551020408 -373.4848484848485 142.69409493385163 469.3877551020408 nan nan 
479.59183673469386 -373.4848484848485 142.69409493385163 479.59183673469386 nan nan 
