omega2 r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11
nan 0.03510000000000002 0.11069067457477133 0.0007288535181946708 0.00019730356511651737 0.00012928343744071028 0.00010497146387181166 9.400751612312027e-05 8.832714423828899e-05 8.53944458582424e-05 8.326915635961085e-05 8.196832615184289e-05 8.093305330776239e-05 7.905580231194505e-05 
nan 0.03610000000000002 0.11894358796431961 0.0007786394354498788 0.00021056896978289739 0.00013776549835135485 0.00011162505639338435 9.969841239959411e-05 9.336380633966746e-05 8.990194018895755e-05 8.724442255105505e-05 8.539286918731702e-05 8.374552212336195e-05 8.114665770014996e-05 
nan 0.03710000000000002 0.12747866089702245 0.0008294580881146269 0.000224076566491664 0.0001463695422029158 0.00011833746497975028 0.00010539665864414453 9.835600954188752e-05 9.430816882007811e-05 9.105546980211576e-05 8.85824525755343e-05 8.624437329454193e-05 8.284170242120742e-05 
nan 0.03810000000000002 0.13628782862637717 0.0008811866522558737 0.00023779017815745007 0.00015506907010168016 0.00012508424188733291 0.00011107724916164406 0.00010327700588782252 9.858395805535772e-05 9.467063553508184e-05 9.150298195379264e-05 8.83935667143477e-05 8.410426280688821e-05 
nan 0.039100000000000024 0.14536245134282363 0.000933696925163847 0.000251672144362618 0.0001638366000988711 0.00013184015318445764 0.0001167145228633456 0.00010809953549019344 0.00010269982228094756 9.805824284283483e-05 9.412077989533905e-05 9.015808603283805e-05 8.489949548954343e-05 
nan 0.040100000000000025 0.1546933639976291 0.0009868558095228743 0.000265683462993035 0.00017264377149355374 0.00013857927765723689 0.00012228227003332562 0.0001127959501403035 0.00010662611293241085 0.00010118678189543545 9.640280748934683e-05 9.150420651117589e-05 8.519470143288035e-05 
nan 0.041100000000000025 0.16427092649689035 0.0010405258005391417 0.00027978393270365387 0.00018146144968951778 0.00014527510613109517 0.00012775383933009244 0.00011733833678959999 0.000110333166595838 0.00010402508908338743 9.831688117210255e-05 9.239975395764139e-05 8.495962454703588e-05 
nan 0.042100000000000026 0.17408507392939074 0.0010945654727426168 0.0002939322952650578 0.0001902598309199631 0.00015190064057116472 0.00013310224434886781 0.00012169864013017172 0.00011379145130423958 0.00010654252272579425 9.98318833168504e-05 9.281435283693287e-05 8.416673249607007e-05 
nan 0.04310000000000003 0.1841253665044897 0.0011488299633190826 0.0003080863768829796 0.00019900854618414528 0.0001584284923538796 0.00013830026910215237 0.00012584878353908032 0.00011697171014080627 0.00010870913424066727 0.00010091796518910234 9.271966179230042e-05 8.279147752975546e-05 
nan 0.04410000000000003 0.19438103889385877 0.0012031714490097014 0.0003222032276357169 0.00020767676377888186 0.00016483097913865376 0.00014332057181577738 0.00012976078769831869 0.00011984510132031234 0.00011049583375466065 0.00010154674098693784 9.208959498470488e-05 8.081253541530767e-05 
nan 0.04510000000000003 0.20484104869710673 0.001257439613852875 0.0003362392582424511 0.00021623328985659947 0.0001710802198133821 0.00014813578648492092 0.00013340688625672136 0.00012238333398765903 0.0001118745492183167 0.00010169147180852092 9.090052782939746e-05 7.821202080158409e-05 
nan 0.04610000000000003 0.21549412376954982 0.0013114821052437752 0.00035015037343442723 0.0002246466664852023 0.00017714822702908864 0.00015271862168003664 0.00013675963795435094 0.0001245587990416271 0.00011281837818506156 0.00010132723851745431 8.913148589478737e-05 7.497567761576251e-05 
nan 0.04710000000000003 0.22632880817160614 0.0013651449760148785 0.00036389210126767403 0.00023288526673412706 0.00018300699688553117 0.00015704195614303507 0.0001397920346893597 0.00012634469436686833 0.00011330173151099103 0.00010043110261246463 8.676431592107183e-05 7.10930433679521e-05 
nan 0.04810000000000003 0.2373335065344778 0.0014182731105442294 0.0003774197178023967 0.00024091738637228817 0.00018862859538528964 0.000161078930771948 0.0001424776050730004 0.0001277151439371819 0.00011330046833514076 9.898225434622755e-05 8.378383810916778e-05 6.655758651188273e-05 
nan 0.04910000000000003 0.24849652665670277 0.0014707106331227789 0.0003906883666402912 0.000248711331812614 0.00019398524132064812 0.00016480303664340526 0.00014479051307912145 0.0001286453103297928 0.00011279202180088777 9.696214747622078e-05 8.017797902424092e-05 6.136681628281674e-05 
nan 0.05010000000000003 0.2598061201694023 0.0015223012970615579 0.0004036531728839791 0.0002562355039914502 0.00019904938530816282 0.00016818819877682505 0.00014670565145841023 0.0001291115002700632 0.00011175551508267194 9.435462017021858e-05 7.593788465158429e-05 5.5522364702700394e-05 
nan 0.051100000000000034 0.271250521142437 0.0015728888533192843 0.0004162693511683258 0.00026345847793193366 0.00020379378474117565 0.00017120885540180587 0.0001481987296529351 0.0001290912629053164 0.00011017186738309864 9.114600172320224e-05 7.105801332637417e-05 4.903004069563931e-05 
nan 0.052100000000000035 0.28281798252649504 0.0016223173976707788 0.00042849230748340104 0.00027034907779172437 0.00020819157447882534 0.0001738400325421628 0.0001492463560072096 0.00012856348058181368 0.0001080238896628507 8.732520487283961e-05 6.553620843731918e-05 4.189985650091739e-05 
nan 0.053100000000000036 0.2944968103506614 0.0016704316956821395 0.0004402777345801124 0.0002768764472472894 0.00021221633313844585 0.00017605741378154378 0.00014982611413155911 0.00012750845197220987 0.00010529636995967225 8.288380362520792e-05 5.9373750973051806e-05 3.414602679907454e-05 
nan 0.05410000000000004 0.3062753956186002 0.001717077484994775 0.0004515817008180524 0.00028301011511670094 0.00021584214490462785 0.00017783740512488793 0.00014991663333046288 0.00012590796747056864 0.00010197614824158394 7.781609661967242e-05 5.257539213773647e-05 2.57869411772788e-05 
nan 0.05510000000000004 0.31814224387318585 0.001762101754661711 0.0004623607323842754 0.0002887200561723633 0.00021904365681348176 0.00017915719491726892 0.00014949765306221431 0.00012374537683694978 9.805218082134973e-05 7.211915616881119e-05 4.5149366404892e-05 1.6845110748569853e-05 
nan 0.05610000000000004 0.3300860024174293 0.0018053530014733713 0.0004725718888683674 0.0002939767471366339 0.00022179613150975522 0.00017999480882361293 0.00014855008144490999 0.0001210056491333759 9.351559443522941e-05 6.579286320871413e-05 3.7107385510093726e-05 7.347089911237512e-06 
nan 0.05710000000000004 0.3420954852003726 0.0018466814634096845 0.0004821728322367612 0.0002987512178947839 0.00022407549551270477 0.0001803291599129511 0.0001470560478694688 0.00011767542504814349 8.835973015808745e-05 5.8839928484011115e-05 2.8464613999345247e-05 -2.676625616845463e-06 
nan 0.05810000000000004 0.3541596953980294 0.0018859393305405375 0.0004911218893020554 0.00030301509799724157 0.00022585838306067043 0.00018014009392611755 0.00014499894982002552 0.00011374306175291768 8.258017738603914e-05 5.126590036784656e-05 1.9239627048088102e-05 -1.3191723230453273e-05 
nan 0.05910000000000004 0.36626784572873117 0.0019229809338287824 0.0004993781078225911 0.0003067406585527684 0.00022712217563292117 0.00017940842983702322 0.00014236349403855465 0.00010919867048181867 7.61747981739958e-05 4.307915978867746e-05 9.45435135686024e-06 -2.416021896621363e-05 
nan 0.06010000000000004 0.3784093765639378 0.0019576629124544395 0.0005069013064135658 0.0003099008496460496 0.0002278450372753432 0.00017811599584565636 0.00013913573220105635 0.00010403414705710663 6.914374225832979e-05 3.4290902789193925e-05 -8.660100038914321e-07 -3.55406226806923e-05 
nan 0.06110000000000004 0.39057397190324844 0.0019898443603781654 0.0005136521184804553 0.0003124693334351713 0.00022800594587752093 0.00017624566096361674 0.00013530309129886569 9.824319561788314e-05 6.148945313424781e-05 2.4915111291776025e-05 -1.1693067867396895e-05 -4.72881213616499e-05 
nan 0.062100000000000044 0.40275157329251715 0.002019386952964838 0.0005195920304152427 0.0003144205131058831 0.00022758472056844272 0.00017378136237343293 0.00013085439894144614 9.182134583493789e-05 5.321666558944567e-05 1.4968512683417304e-05 -2.299535138532623e-05 -5.935477901065067e-05 
