sigma mu omega domega
110.20408163265307 40.67796610169491 -5.455454594793057 0.04407672900208591 
118.36734693877554 40.67796610169491 -5.019490002927146 0.060594620511646366 
126.53061224489795 40.67796610169491 -4.466154668072301 0.0719374848179246 
134.69387755102042 40.67796610169491 -3.845000454879399 0.07626721024605927 
142.8571428571429 40.67796610169491 -3.2209757252794944 0.0716527742514587 
151.0204081632653 40.67796610169491 -2.6751592426106856 0.05607590316459173 
159.18367346938777 40.67796610169491 -2.3054507756535094 0.02743608055377413 
167.34693877551024 40.67796610169491 -2.2272232335694744 -0.01644498925044614 
175.51020408163265 40.67796610169491 -2.5739403960689526 -0.07781937799950789 
183.67346938775512 40.67796610169491 -3.4977436907043002 -0.15900932289983066 
191.8367346938776 40.67796610169491 -5.170010974025377 -0.26240395339838585 
200.0 40.67796610169491 -7.781889868637118 -0.3199551645899396 

-200.0 50.847457627118644 1.6885318470935837 0.2726030560112894 
-191.83673469387756 50.847457627118644 3.9138629165734953 0.21505184481973302 
-183.6734693877551 50.847457627118644 5.199582374762693 0.11165721432117469 
-175.51020408163265 50.847457627118644 5.736837844266148 0.030467269420854634 
-167.3469387755102 50.847457627118644 5.697007181633788 -0.030907119328207444 
-159.18367346938777 50.847457627118644 5.232231814417864 -0.07478818913242903 
-151.0204081632653 50.847457627118644 4.475975522328822 -0.10342801174324484 
-142.85714285714286 50.847457627118644 3.5436112145281515 -0.11900488283011221 
-134.69387755102042 50.847457627118644 2.53303865979638 -0.12361931882471301 
-126.53061224489795 50.847457627118644 1.5253366214716115 -0.11928959339657791 
-118.36734693877551 50.847457627118644 0.5854534614849031 -0.10794672909029995 
-110.20408163265306 50.847457627118644 -0.23705895551287698 -0.09142883758073943 
-102.0408163265306 50.847457627118644 -0.907262254119007 -0.0714746721892047 
-93.87755102040816 50.847457627118644 -1.4039923790100965 -0.04971621523521034 
-85.71428571428571 50.847457627118644 -1.7189555640816243 -0.027670064935633048 
-77.55102040816327 50.847457627118644 -1.8557485412245138 -0.006727302882789466 
-69.38775510204081 50.847457627118644 -1.8287890805353297 0.011858601639529473 
-61.22448979591837 50.847457627118644 -1.6621387185383187 0.026986487171928364 
-53.061224489795904 50.847457627118644 -1.3881933716058863 0.037725743841860004 
-44.897959183673464 50.847457627118644 -1.0462082068344818 0.043339585813692405 
-36.734693877551024 50.847457627118644 -0.680608297096623 0.04331580666452052 
-28.571428571428555 50.847457627118644 -0.3390113633321058 0.03740942957800151 
-20.408163265306115 50.847457627118644 -0.0698420999047609 0.02566065232693828 
-12.244897959183675 50.847457627118644 0.07993806241382488 0.008331740060266527 
-4.081632653061206 50.847457627118644 0.0661863092424472 -0.0126803220264103 
4.081632653061234 50.847457627118644 -0.12708760332348568 -0.03467178655224329 
12.244897959183675 50.847457627118644 -0.4998836752839732 -0.05568384863892004 
20.408163265306115 50.847457627118644 -1.0362116627344242 -0.07301276090559179 
28.571428571428584 50.847457627118644 -1.6919287512936363 -0.08476153815665505 
36.734693877551024 50.847457627118644 -2.4200735101900173 -0.09066791524317404 
44.897959183673464 50.847457627118644 -3.172221245059742 -0.09069169439234585 
53.06122448979593 50.847457627118644 -3.900754234963012 -0.08507785242051341 
61.22448979591837 50.847457627118644 -4.5612474070273095 -0.07433859575058194 
69.38775510204084 50.847457627118644 -5.114445594156187 -0.059210710218182916 
77.55102040816325 50.847457627118644 -5.527952879977234 -0.04062480569586402 
85.71428571428572 50.847457627118644 -5.777707727966211 -0.01968204364302045 
93.87755102040819 50.847457627118644 -5.849292368026548 0.002364106656556797 
102.0408163265306 50.847457627118644 -5.739110068267324 0.024122563610551314 
110.20408163265307 50.847457627118644 -5.455454594793057 0.04407672900208591 
118.36734693877554 50.847457627118644 -5.019490002927146 0.060594620511646366 
126.53061224489795 50.847457627118644 -4.466154668072301 0.0719374848179246 
134.69387755102042 50.847457627118644 -3.845000454879399 0.07626721024605927 
142.8571428571429 50.847457627118644 -3.2209757252794944 0.0716527742514587 
151.0204081632653 50.847457627118644 -2.6751592426106856 0.05607590316459173 
159.18367346938777 50.847457627118644 -2.3054507756535094 0.02743608055377413 
167.34693877551024 50.847457627118644 -2.2272232335694744 -0.01644498925044614 
175.51020408163265 50.847457627118644 -2.5739403960689526 -0.07781937799950789 
183.67346938775512 50.847457627118644 -3.4977436907043002 -0.15900932289983066 
191.8367346938776 50.847457627118644 -5.170010974025377 -0.26240395339838585 
200.0 50.847457627118644 -7.781889868637118 -0.3199551645899396 

-200.0 61.01694915254237 1.6885318470935837 0.2726030560112894 
-191.83673469387756 61.01694915254237 3.9138629165734953 0.21505184481973302 
-183.6734693877551 61.01694915254237 5.199582374762693 0.11165721432117469 
-175.51020408163265 61.01694915254237 5.736837844266148 0.030467269420854634 
-167.3469387755102 61.01694915254237 5.697007181633788 -0.030907119328207444 
-159.18367346938777 61.01694915254237 5.232231814417864 -0.07478818913242903 
-151.0204081632653 61.01694915254237 4.475975522328822 -0.10342801174324484 
