sigma mu omega
159.59595959595964 275 82.26208788319556 
163.63636363636368 275 100.68870002673413 
167.67676767676772 275 120.91217075037075 
171.71717171717177 275 143.02150903543895 
175.7575757575758 275 167.10718285908263 
179.79797979797985 275 193.26110243916648 
183.8383838383839 275 221.57660386902023 
187.87878787878788 275 252.14843312427902 
191.91919191919192 275 285.07273042528067 
195.95959595959596 275 320.4470149395395 
200.0 275 358.370169809829 

-200.0 300 358.370169809829 
-195.95959595959596 300 320.4470149395395 
-191.91919191919192 300 285.07273042528067 
-187.87878787878788 300 252.14843312427902 
-183.83838383838383 300 221.57660386901983 
-179.7979797979798 300 193.2611024391662 
-175.75757575757575 300 167.10718285908223 
-171.7171717171717 300 143.02150903543875 
-167.67676767676767 300 120.91217075037046 
-163.63636363636363 300 100.6887000267338 
-159.59595959595958 300 82.26208788319532 
-155.55555555555554 300 65.54480149818058 
-151.5151515151515 300 50.45080180314438 
-147.47474747474746 300 36.89556152719304 
-143.43434343434342 300 24.796083716837295 
-139.39393939393938 300 14.070920756579657 
-135.35353535353534 300 4.640193918187084 
-131.3131313131313 300 -3.5743865311104073 
-127.27272727272727 300 -10.649500628582699 
-123.23232323232322 300 -16.66019738821489 
-119.19191919191918 300 -21.679872805893947 
-115.15151515151514 300 -25.780247154478914 
-111.1111111111111 300 -29.031341521348878 
-107.07070707070706 300 -31.501453536111068 
-103.03030303030303 300 -33.25713223053351 
-98.98989898989899 300 -34.36315196631621 
-94.94949494949495 300 -34.8824853588678 
-90.9090909090909 300 -34.87719557837255 
-86.86868686868686 300 -34.41678641240699 
-82.82828282828282 300 -33.56648961915014 
-78.78787878787878 300 -32.384784179203194 
-74.74747474747474 300 -30.926184106293288 
-70.7070707070707 300 -29.241930153964248 
-66.66666666666666 300 -27.380308828955968 
-62.626262626262616 300 -25.386832923428226 
-58.585858585858574 300 -23.30435393619579 
-54.54545454545453 300 -21.173135256378483 
-50.50505050505049 300 -19.030900139845897 
-46.46464646464645 300 -16.912862059112182 
-42.42424242424241 300 -14.851741803604103 
-38.383838383838366 300 -12.87777393833649 
-34.343434343434325 300 -11.018704151501485 
-30.303030303030283 300 -9.299778288614647 
-26.26262626262624 300 -7.74372329648498 
-22.2222222222222 300 -6.370719759768418 
-18.18181818181816 300 -5.198365086702551 
-14.141414141414117 300 -4.24162551440637 
-10.101010101010075 300 -3.5127736041283883 
-6.060606060606062 300 -3.0213048610837174 
-2.0202020202020208 300 -2.7738193225075625 
2.0202020202020208 300 -2.7738193225075625 
6.060606060606062 300 -3.0213048610837174 
10.101010101010104 300 -3.5127736041283932 
14.141414141414145 300 -4.241625514406377 
18.181818181818187 300 -5.19836508670256 
22.22222222222223 300 -6.370719759768424 
26.26262626262627 300 -7.74372329648499 
30.30303030303031 300 -9.29977828861466 
34.34343434343435 300 -11.018704151501494 
38.383838383838395 300 -12.877773938336505 
42.424242424242436 300 -14.851741803604122 
46.46464646464648 300 -16.912862059112197 
50.50505050505052 300 -19.030900139845915 
54.54545454545456 300 -21.1731352563785 
58.5858585858586 300 -23.304353936195803 
62.626262626262644 300 -25.386832923428237 
66.66666666666669 300 -27.380308828955986 
70.70707070707073 300 -29.24193015396426 
74.74747474747477 300 -30.92618410629331 
78.78787878787881 300 -32.384784179203194 
82.82828282828285 300 -33.566489619150154 
86.8686868686869 300 -34.416786412407 
90.90909090909093 300 -34.87719557837256 
94.94949494949498 300 -34.8824853588678 
98.98989898989902 300 -34.36315196631621 
103.03030303030306 300 -33.25713223053351 
107.0707070707071 300 -31.501453536111043 
111.11111111111114 300 -29.031341521348846 
115.15151515151518 300 -25.780247154478854 
119.19191919191923 300 -21.679872805893893 
123.23232323232327 300 -16.660197388214844 
127.27272727272731 300 -10.649500628582663 
131.31313131313135 300 -3.5743865311102736 
135.3535353535354 300 4.640193918187221 
139.39393939393943 300 14.070920756579804 
143.43434343434348 300 24.796083716837465 
147.47474747474752 300 36.89556152719321 
151.51515151515156 300 50.45080180314465 
155.5555555555556 300 65.54480149818083 
159.59595959595964 300 82.26208788319556 
163.63636363636368 300 100.68870002673413 
167.67676767676772 300 120.91217075037075 
171.71717171717177 300 143.02150903543895 
175.7575757575758 300 167.10718285908263 
179.79797979797985 300 193.26110243916648 
183.8383838383839 300 221.57660386902023 
187.87878787878788 300 252.14843312427902 
191.91919191919192 300 285.07273042528067 
195.95959595959596 300 320.4470149395395 
200.0 300 358.370169809829 

-200.0 325 358.370169809829 
-195.95959595959596 325 320.4470149395395 
-191.91919191919192 325 285.07273042528067 
-187.87878787878788 325 252.14843312427902 
-183.83838383838383 325 221.57660386901983 
-179.7979797979798 325 193.2611024391662 
-175.75757575757575 325 167.10718285908223 
-171.7171717171717 325 143.02150903543875 
-167.67676767676767 325 120.91217075037046 
-163.63636363636363 325 100.6887000267338 
-159.59595959595958 325 82.26208788319532 
-155.55555555555554 325 65.54480149818058 
-151.5151515151515 325 50.45080180314438 
-147.47474747474746 325 36.89556152719304 
-143.43434343434342 325 24.796083716837295 
-139.39393939393938 325 14.070920756579657 
-135.35353535353534 325 4.640193918187084 
-131.3131313131313 325 -3.5743865311104073 
-127.27272727272727 325 -10.649500628582699 
-123.23232323232322 325 -16.66019738821489 
-119.19191919191918 325 -21.679872805893947 
-115.15151515151514 325 -25.780247154478914 
-111.1111111111111 325 -29.031341521348878 
-107.07070707070706 325 -31.501453536111068 
-103.03030303030303 325 -33.25713223053351 
-98.98989898989899 325 -34.36383004683368 
-94.94949494949495 325 -34.89533518098638 
