nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.205 0.21 0.17646605530246837 936.0411073884104 937.3030583563403 976.8967875962699 0.003789907131964843 0.004063285258774448 0.18825811381568106 0.19294146295007042 0.1730675537889686 
0.21 0.215 0.18634653520625388 937.3030583563403 938.5983377279805 977.4919888132819 0.004063285258774448 0.004350644367411759 0.19294146295007042 0.19763120496173514 0.18297732666872094 
0.215 0.22 0.19561734173670517 938.5983377279805 939.928436694621 978.1605143878594 0.004350644367411759 0.004652671023948672 0.19763120496173514 0.2023275101842111 0.1922895528834818 
0.22 0.225 0.20426825776431645 939.928436694621 941.2925966530896 978.9079417206601 0.004652671023948672 0.004969552473677521 0.2023275101842111 0.207030550865363 0.2009921531285447 
0.225 0.23 0.2123186961246739 941.2925966530896 942.6916855445786 979.7341982752769 0.004969552473677521 0.005301850452475315 0.207030550865363 0.21174049946550316 0.20910288462064466 
0.23 0.235 0.21982126665747168 942.6916855445786 944.1252297801268 980.6378136750775 0.005301850452475315 0.005649814620731833 0.21174049946550316 0.2164575294780925 0.21667311434798364 
0.235 0.24 0.22682927745157225 944.1252297801268 945.5940441551991 981.615530198378 0.005649814620731833 0.0060140067143240805 0.2164575294780925 0.22118181520316393 0.223755166972904 
0.24 0.245 0.2334020630724061 945.5940441551991 947.0966744903363 982.6647813466243 0.0060140067143240805 0.006394426733252058 0.22118181520316393 0.22591352941884302 0.23040772390097794 
0.245 0.25 0.23958710475121517 947.0966744903363 948.6353776666247 983.7814946105175 0.006394426733252058 0.006792010903977442 0.22591352941884302 0.23065284678306985 0.2366776915117831 
0.25 0.26 0.24544004597294497 948.6353776666247 951.7837579818944 984.9647278657615 0.006792010903977442 0.00763024566266534 0.23065284678306985 0.2401548429574289 0.24262051000065243 
0.26 0.27 0.256192173558961 951.7837579818944 955.0998354108546 987.4920546417875 0.00763024566266534 0.008547747595108533 0.2401548429574289 0.24968915574545897 0.253564223704697 
0.27 0.28 0.2661403389027511 955.0998354108546 958.5909799270833 990.28118439463 0.008547747595108533 0.009550134060077084 0.24968915574545897 0.25925749884277915 0.26372374648979996 
0.28 0.29 0.275476908538041 958.5909799270833 962.2595922514531 993.3306037127943 0.009550134060077084 0.010641774114392152 0.25925749884277915 0.2688616353963099 0.27329235448764205 
0.29 0.3 0.28434043054634744 962.2595922514531 966.140242869656 996.6370214549844 0.010641774114392152 0.011837023230466108 0.2688616353963099 0.27850350962610876 0.2824098619737807 
0.3 0.31 0.29291130507649205 966.140242869656 970.2072792901536 1000.2282995269287 0.011837023230466108 0.013132136502452249 0.27850350962610876 0.2881851176155427 0.2912608044085762 
0.31 0.32 0.3012122854399116 970.2072792901536 974.5019984619588 1004.0782013382208 0.013132136502452249 0.014544590157635208 0.2881851176155427 0.29790852566336257 0.29986832813512476 
0.32 0.33 0.3093940094625931 974.5019984619588 978.9864904894363 1008.2237746393556 0.014544590157635208 0.016066270233347116 0.29790852566336257 0.3076758262682274 0.3083889561299105 
0.33 0.34 0.3174416013277194 978.9864904894363 983.6761922104068 1012.6264459911089 0.016066270233347116 0.017706538994204747 0.3076758262682274 0.3174889931233442 0.316808061132718 
0.34 0.35 0.3254384264840969 983.6761922104068 988.6146499929155 1017.2990960860354 0.017706538994204747 0.01948536927139053 0.3174889931233442 0.32735029197804516 0.3252138767734189 
0.35 0.36 0.3334997674661291 988.6146499929155 993.7592345286812 1022.2829141151465 0.01948536927139053 0.0213921504983388 0.32735029197804516 0.3372620027161609 0.33372986548007755 
0.36 0.37 0.3415945332446027 993.7592345286812 999.1510565146984 1027.5323863867684 0.0213921504983388 0.023446855506231996 0.3372620027161609 0.3472263883278892 0.3423258735229726 
0.37 0.38 0.3498226470036328 999.1510565146984 1004.7801234048582 1033.0862672102755 0.023446855506231996 0.025650732597019017 0.3472263883278892 0.35724587303357275 0.35111123598645066 
0.38 0.39 0.35820057252371923 1004.7801234048582 1010.6310105661661 1038.9309641611817 0.025650732597019017 0.028002533468750958 0.35724587303357275 0.3673227543091113 0.36010746458951015 
0.39 0.4 0.3667346233641171 1010.6310105661661 1016.7151885662759 1045.046065890303 0.028002533468750958 0.03051162038604459 0.3673227543091113 0.3774593069723784 0.36932567921548576 
0.4 0.41 0.3754701830962954 1016.7151885662759 1023.0491821802742 1051.439040023684 0.03051162038604459 0.03318985221741448 0.3774593069723784 0.3876579454177148 0.37881950101804285 
0.41 0.42 0.38445644933379675 1023.0491821802742 1029.6411206056955 1058.122321786293 0.03318985221741448 0.03604596707650296 0.3876579454177148 0.3979212082270007 0.3886477963459267 
