muQ deltax deltay muu mud mus mue nu nd ns ne epsilon P
102.10210210210211 300.0 0.0 102.10210210210211 102.10210210210211 0.0 0.0 -5.415493117624163e-17 -5.415493117624163e-17 0.0 -1.0052185159850071e-25 -1.1058664624577873e-17 0.0 
103.10310310310311 300.0 0.0 103.10310310310311 103.10310310310311 0.0 0.0 -5.394537804698509e-17 -5.394537804698509e-17 0.0 -1.0052185159850071e-25 -1.1123871749428359e-17 0.0 
104.10410410410411 300.0 0.0 104.10410410410411 104.10410410410411 0.0 0.0 -5.3734055465555086e-17 -5.3734055465555086e-17 0.0 -1.0052185159850071e-25 -1.1187871408243704e-17 0.0 
105.10510510510511 300.0 0.0 105.10510510510511 105.10510510510511 0.0 0.0 -5.352097180774835e-17 -5.352097180774835e-17 0.0 -1.0052185159850071e-25 -1.1250654734361517e-17 0.0 
106.10610610610611 300.0 0.0 106.10610610610611 106.10610610610611 0.0 0.0 -5.330613554951117e-17 -5.330613554951117e-17 0.0 -1.0052185159850071e-25 -1.1312212949445817e-17 0.0 
107.10710710710711 300.0 0.0 107.10710710710711 107.10710710710711 0.0 0.0 -5.308955526760504e-17 -5.308955526760504e-17 0.0 -1.0052185159850071e-25 -1.1372537364632112e-17 0.0 
108.10810810810811 300.0 0.0 108.10810810810811 108.10810810810811 0.0 0.0 -5.2871239640284624e-17 -5.2871239640284624e-17 0.0 -1.0052185159850071e-25 -1.1431619381683163e-17 0.0 
109.10910910910911 300.0 0.0 109.10910910910911 109.10910910910911 0.0 0.0 -5.265119744798899e-17 -5.265119744798899e-17 0.0 -1.0052185159850071e-25 -1.1489450494155757e-17 0.0 
110.11011011011011 300.0 0.0 110.11011011011011 110.11011011011011 0.0 0.0 -5.2429437574045947e-17 -5.2429437574045947e-17 0.0 -1.0052185159850071e-25 -1.1546022288578688e-17 0.0 
111.11111111111111 300.0 0.0 111.11111111111111 111.11111111111111 0.0 0.0 -5.2205969005389256e-17 -5.2205969005389256e-17 0.0 -1.0052185159850071e-25 -1.1601326445642059e-17 0.0 
112.11211211211213 300.0 0.0 112.11211211211213 112.11211211211213 0.0 0.0 -5.1980800833290913e-17 -5.1980800833290913e-17 0.0 -1.0052185159850071e-25 -1.1655354741398566e-17 0.0 
113.11311311311313 300.0 0.0 113.11311311311313 113.11311311311313 0.0 0.0 -5.1753942254105463e-17 -5.1753942254105463e-17 0.0 -1.0052185159850071e-25 -1.1708099048476315e-17 0.0 
114.11411411411413 300.0 0.0 114.11411411411413 114.11411411411413 0.0 0.0 -5.1525402570030595e-17 -5.1525402570030595e-17 0.0 -1.0052185159850071e-25 -1.1759551337304284e-17 0.0 
115.11511511511513 300.0 0.0 115.11511511511513 115.11511511511513 0.0 0.0 -5.12951911898816e-17 -5.12951911898816e-17 0.0 -1.0052185159850071e-25 -1.180970367735012e-17 0.0 
116.11611611611613 300.0 0.0 116.11611611611613 116.11611611611613 0.0 0.0 -5.10633176298802e-17 -5.10633176298802e-17 0.0 -1.0052185159850071e-25 -1.1858548238370582e-17 0.0 
117.11711711711713 300.0 0.0 117.11711711711713 117.11711711711713 0.0 0.0 -5.0829791514459553e-17 -5.0829791514459553e-17 0.0 -1.0052185159850071e-25 -1.1906077291675214e-17 0.0 
118.11811811811813 300.0 0.0 118.11811811811813 118.11811811811813 0.0 0.0 -5.0594622577084486e-17 -5.0594622577084486e-17 0.0 -1.0052185159850071e-25 -1.1952283211403346e-17 0.0 
119.11911911911913 300.0 0.0 119.11911911911913 119.11911911911913 0.0 0.0 -5.035782066108756e-17 -5.035782066108756e-17 0.0 -1.0052185159850071e-25 -1.199715847581466e-17 0.0 
120.12012012012013 300.0 0.0 120.12012012012013 120.12012012012013 0.0 0.0 -5.011939572052142e-17 -5.011939572052142e-17 0.0 -1.0052185159850071e-25 -1.2040695668593739e-17 0.0 
121.12112112112113 300.0 0.0 121.12112112112113 121.12112112112113 0.0 0.0 -4.9879357821028524e-17 -4.9879357821028524e-17 0.0 -1.0052185159850071e-25 -1.2082887480169077e-17 0.0 
122.12212212212214 300.0 0.0 122.12212212212214 122.12212212212214 0.0 0.0 -4.9637717140726467e-17 -4.9637717140726467e-17 0.0 -1.0052185159850071e-25 -1.2123726709046306e-17 0.0 
123.12312312312314 300.0 0.0 123.12312312312314 123.12312312312314 0.0 0.0 -4.939448397111265e-17 -4.939448397111265e-17 0.0 -1.0052185159850071e-25 -1.2163206263156874e-17 0.0 
124.12412412412414 300.0 0.0 124.12412412412414 124.12412412412414 0.0 0.0 -4.914966871798458e-17 -4.914966871798458e-17 0.0 -1.0052185159850071e-25 -1.22013191612214e-17 0.0 
125.12512512512514 300.0 0.0 125.12512512512514 125.12512512512514 0.0 0.0 -4.890328190238024e-17 -4.890328190238024e-17 0.0 -1.0052185159850071e-25 -1.2238058534129191e-17 0.0 
126.12612612612614 300.0 0.0 126.12612612612614 126.12612612612614 0.0 0.0 -4.8655334161536415e-17 -4.8655334161536415e-17 0.0 -1.0052185159850071e-25 -1.2273417626333513e-17 0.0 
127.12712712712714 300.0 0.0 127.12712712712714 127.12712712712714 0.0 0.0 -4.840583624986593e-17 -4.840583624986593e-17 0.0 -1.0052185159850071e-25 -1.2307389797263213e-17 0.0 
128.12812812812814 300.0 0.0 128.12812812812814 128.12812812812814 0.0 0.0 -4.8154799039954327e-17 -4.8154799039954327e-17 0.0 -1.0052185159850071e-25 -1.2339968522751063e-17 0.0 
129.12912912912915 300.0 0.0 129.12912912912915 129.12912912912915 0.0 0.0 -4.790223352357743e-17 -4.790223352357743e-17 0.0 -1.0052185159850071e-25 -1.2371147396479461e-17 0.0 
130.13013013013014 300.0 0.0 130.13013013013014 130.13013013013014 0.0 0.0 -4.764815081273845e-17 -4.764815081273845e-17 0.0 -1.0052185159850071e-25 -1.2400920131443442e-17 0.0 
131.13113113113116 300.0 0.0 131.13113113113116 131.13113113113116 0.0 0.0 -4.739256214072612e-17 -4.739256214072612e-17 0.0 -1.0052185159850071e-25 -1.2429280561431679e-17 0.0 
132.13213213213214 300.0 0.0 132.13213213213214 132.13213213213214 0.0 0.0 -4.7135478863195495e-17 -4.7135478863195495e-17 0.0 -1.0052185159850071e-25 -1.2456222642526138e-17 0.0 
133.13313313313316 300.0 0.0 133.13313313313316 133.13313313313316 0.0 0.0 -4.6876912459268577e-17 -4.6876912459268577e-17 0.0 -1.0052185159850071e-25 -1.2481740454620064e-17 0.0 
134.13413413413414 300.0 0.0 134.13413413413414 134.13413413413414 0.0 0.0 -4.6616874532659826e-17 -4.6616874532659826e-17 0.0 -1.0052185159850071e-25 -1.2505828202955794e-17 0.0 
135.13513513513516 300.0 0.0 135.13513513513516 135.13513513513516 0.0 0.0 -4.6355376812823096e-17 -4.6355376812823096e-17 0.0 -1.0052185159850071e-25 -1.2528480219681921e-17 0.0 
136.13613613613614 300.0 0.0 136.13613613613614 136.13613613613614 0.0 0.0 -4.6092431156123494e-17 -4.6092431156123494e-17 0.0 -1.0052185159850071e-25 -1.2549690965431021e-17 0.0 
137.13713713713716 300.0 0.0 137.13713713713716 137.13713713713716 0.0 0.0 -4.5828049547032096e-17 -4.5828049547032096e-17 0.0 -1.0052185159850071e-25 -1.2569455030917716e-17 0.0 
