nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.22 0.225 0.22043283733061717 939.928436694621 941.2925966530896 971.0946486399832 0.004652671023948672 0.004969552473677521 0.2023275101842111 0.207030550865363 0.2159097484923299 
0.225 0.23 0.22652374633555428 941.2925966530896 942.6916855445786 972.0057039457663 0.004969552473677521 0.005301850452475315 0.207030550865363 0.21174049946550316 0.22200849062813263 
0.23 0.235 0.23223920274287335 942.6916855445786 944.1252297801268 972.9880175342993 0.005301850452475315 0.005649814620731833 0.21174049946550316 0.2164575294780925 0.22773949360100285 
0.235 0.24 0.23763258612898105 944.1252297801268 945.5940441551991 974.037596138503 0.005649814620731833 0.0060140067143240805 0.2164575294780925 0.22118181520316393 0.233155449141843 
0.24 0.245 0.2427526207241011 945.5940441551991 947.0966744903363 975.1521423705011 0.0060140067143240805 0.006394426733252058 0.22118181520316393 0.22591352941884302 0.23830458377784328 
0.245 0.25 0.24763227825582454 947.0966744903363 948.6353776666247 976.3282419060315 0.006394426733252058 0.006792010903977442 0.22591352941884302 0.23065284678306985 0.2432194605342482 
0.25 0.26 0.2523106728413578 948.6353776666247 951.7837579818944 977.565829883286 0.006792010903977442 0.00763024566266534 0.23065284678306985 0.2401548429574289 0.24793897221672043 
0.26 0.27 0.261068544015374 951.7837579818944 955.0998354108546 980.1889343820292 0.00763024566266534 0.008547747595108533 0.2401548429574289 0.24968915574545897 0.25679486814838454 
0.27 0.28 0.2693675724513198 955.0998354108546 958.5909799270833 983.06333046084 0.008547747595108533 0.009550134060077084 0.24968915574545897 0.25925749884277915 0.2652146870160971 
0.28 0.29 0.2773278654263468 958.5909799270833 962.2595922514531 986.1915210627374 0.009550134060077084 0.010641774114392152 0.25925749884277915 0.2688616353963099 0.2733192291473856 
0.29 0.3 0.28503683758191517 962.2595922514531 966.140242869656 989.5731439763993 0.010641774114392152 0.011837023230466108 0.2688616353963099 0.27850350962610876 0.2811969876199534 
0.3 0.31 0.2926258711091116 966.140242869656 970.2072792901536 993.2387943059302 0.011837023230466108 0.013132136502452249 0.27850350962610876 0.2881851176155427 0.2889826104735853 
0.31 0.32 0.30009413360546294 970.2072792901536 974.5019984619588 997.163152120989 0.013132136502452249 0.014544590157635208 0.2881851176155427 0.29790852566336257 0.296676130594712 
0.32 0.33 0.30756071100676063 974.5019984619588 978.9864904894363 1001.3850276345412 0.014544590157635208 0.016066270233347116 0.29790852566336257 0.3076758262682274 0.3044016076539008 
0.33 0.34 0.31499918324439763 978.9864904894363 983.6761922104068 1005.8659550896353 0.016066270233347116 0.017706538994204747 0.3076758262682274 0.3174889931233442 0.3121334639443816 
0.34 0.35 0.3224736604079265 983.6761922104068 988.6146499929155 1010.6194711008008 0.017706538994204747 0.01948536927139053 0.3174889931233442 0.32735029197804516 0.3199402741342498 
0.35 0.36 0.3300837427058082 988.6146499929155 993.7592345286812 1015.6878892364 0.01948536927139053 0.0213921504983388 0.32735029197804516 0.3372620027161609 0.3279290354745707 
0.36 0.37 0.3377916984699622 993.7592345286812 999.1510565146984 1021.0249625915754 0.0213921504983388 0.023446855506231996 0.3372620027161609 0.3472263883278892 0.33606357138066223 
0.37 0.38 0.3456861841616061 999.1510565146984 1004.7801234048582 1026.6701752490944 0.023446855506231996 0.025650732597019017 0.3472263883278892 0.35724587303357275 0.3444412868994426 
0.38 0.39 0.3537773861952067 1004.7801234048582 1010.6310105661661 1032.6096653512907 0.025650732597019017 0.028002533468750958 0.35724587303357275 0.3673227543091113 0.3530775110077344 
0.39 0.4 0.36206603651430447 1010.6310105661661 1016.7151885662759 1038.8224385500503 0.028002533468750958 0.03051162038604459 0.3673227543091113 0.3774593069723784 0.361977975136435 
0.4 0.41 0.37059288133364304 1016.7151885662759 1023.0491821802742 1045.316509894055 0.03051162038604459 0.03318985221741448 0.3774593069723784 0.3876579454177148 0.3711913092973498 
0.41 0.42 0.37939995896803747 1023.0491821802742 1029.6411206056955 1052.103329757772 0.03318985221741448 0.03604596707650296 0.3876579454177148 0.3979212082270007 0.3807692428104332 
0.42 0.43 0.3885183584331882 1029.6411206056955 1036.4549597316877 1059.1860252155584 0.03604596707650296 0.039069354396744346 0.3979212082270007 0.40825149852987797 0.3907521366533093 
0.43 0.44 0.3979164086345808 1036.4549597316877 1043.5038598572903 1066.5195589719851 0.039069354396744346 0.04227062474470431 0.40825149852987797 0.4186511001259753 0.401112119263593 
0.44 0.45 0.4076282230523936 1043.5038598572903 1050.8189000788295 1074.1105082119464 0.04227062474470431 0.045669126800590834 0.4186511001259753 0.42912251653616185 0.41189416192385775 
0.45 0.46 0.41771289028422126 1050.8189000788295 1058.3699928494902 1081.9855738475298 0.045669126800590834 0.0492561224507616 0.42912251653616185 0.43966826184128116 0.4231716351656067 
0.46 0.47 0.42814180024040666 1058.3699928494902 1066.1868382128453 1090.1033480857168 0.0492561224507616 0.05305096037542461 0.43966826184128116 0.45029084273582015 0.4349216184839639 
0.47 0.48 0.43897045161865783 1066.1868382128453 1074.2368558242783 1098.4888464983965 0.05305096037542461 0.05704303000801418 0.45029084273582015 0.46099275698510866 0.44721504759594083 
0.48 0.49 0.4501650673978643 1074.2368558242783 1082.5474074743722 1107.0980701006797 0.05704303000801418 0.06125105587776385 0.46099275698510866 0.4717764709993301 0.46002323861453775 
0.49 0.5 0.46177584542925915 1082.5474074743722 1091.0922698417605 1115.9530478271415 0.06125105587776385 0.06566692402200576 0.4717764709993301 0.48264446142064044 0.4734126776490938 
0.5 0.51 0.47377327942340974 1091.0922698417605 1099.9000437044738 1125.0134473742976 0.06566692402200576 0.07031060727192234 0.48264446142064044 0.4935992121970657 0.48736121901693824 
0.51 0.52 0.4862095239613417 1099.9000437044738 1108.966324642027 1134.3041603291165 0.07031060727192234 0.07518522638238584 0.4935992121970657 0.5046433310357066 0.5019383090933913 
0.52 0.53 0.4990864674278743 1108.966324642027 1118.2698802954958 1143.8109462596194 0.07518522638238584 0.08028453984365176 0.5046433310357066 0.5157792986767927 0.517157609599743 
0.53 0.54 0.5123808899457966 1118.2698802954958 1127.8353625653076 1153.5016535101431 0.08028453984365176 0.08562727218495361 0.5157792986767927 0.527009609353388 0.5330033435550138 
0.54 0.56 0.5261351034177527 1127.8353625653076 1147.7248930855176 1163.3931334080648 0.08562727218495361 0.0970492350174097 0.527009609353388 0.5497634725625226 0.5495374384271704 
0.56 0.58 0.5550091290418276 1147.7248930855176 1168.6157242825668 1183.714573110544 0.0970492350174097 0.10948232242847665 0.5497634725625226 0.5729251255141987 0.584702625064635 
0.58 0.6 0.5857298783561007 1168.6157242825668 1190.59193883435 1204.6933797024628 0.10948232242847665 0.12302015706432216 0.5729251255141987 0.5965154156825385 0.6227732665017166 
0.6 0.62 0.6184526229327707 1190.59193883435 1213.5432148386985 1226.3348213650333 0.12302015706432216 0.13763777288596815 0.5965154156825385 0.6205549812023418 0.6640525427142352 
0.62 0.64 0.6530442387182571 1213.5432148386985 1237.5784213276806 1248.4650005576511 0.13763777288596815 0.15344751706881585 0.6205549812023418 0.6450643857334151 0.7084798758271331 
0.64 0.66 0.6897016257465833 1237.5784213276806 1262.630885752443 1271.1388373173793 0.15344751706881585 0.1704493896128652 0.6450643857334151 0.6700646612225934 0.7564104529619707 
0.66 0.68 0.7283479867936856 1262.630885752443 1288.6131381689045 1294.2387581210633 0.1704493896128652 0.1886246659888828 0.6700646612225934 0.6955752996186941 0.8078543907842259 
0.68 0.7 0.768857034375908 1288.6131381689045 1315.7831230538475 1317.6201603300535 0.1886246659888828 0.20819804054767094 0.6955752996186941 0.721617416919225 0.8627630347109622 
0.7 0.72 0.8116590758187501 1315.7831230538475 1343.897174654048 1341.482910369413 0.20819804054767094 0.22903844158459494 0.721617416919225 0.7482123899724901 0.921823160781176 
0.72 0.74 0.856365608269204 1343.897174654048 1373.0673283658932 1365.5360065200693 0.22903844158459494 0.25127069929454504 0.7482123899724901 0.7753801954104304 0.9846435356560854 
0.74 0.76 0.9032047414879867 1373.0673283658932 1403.221337365574 1389.895051585304 0.25127069929454504 0.27488233065803214 0.7753801954104304 0.8031412491300796 1.05160790216801 
